,pm2.5_atm,pm2.5_atm,pm2.5_atm,pm10.0_atm,pm10.0_atm,pm10.0_atm,temp_celsius,temp_celsius,temp_celsius,humidity,humidity,humidity
,mean,min,max,mean,min,max,mean,min,max,mean,min,max
time_stamp,,,,,,,,,,,,
2024-01-01,3.72,1.0,9.4,4.09,1.1,9.9,34.75,29.44,42.78,41.48,22,58
2024-01-02,9.2,2.0,17.7,9.85,2.3,18.6,35.27,30.0,44.44,39.0,19,55
2024-01-03,12.26,6.6,23.0,13.0,7.1,23.8,34.49,28.89,42.78,38.81,21,55
2024-01-04,11.56,3.1,28.0,12.26,3.7,29.1,33.91,28.89,42.22,39.08,21,55
2024-01-05,10.34,3.1,34.7,11.0,3.6,39.5,34.75,28.89,45.0,36.58,20,52
2024-01-06,17.3,6.4,44.2,18.8,7.0,53.0,35.25,30.56,42.78,39.69,24,55
2024-01-07,25.82,12.5,51.2,28.41,13.6,60.6,34.31,29.44,41.67,39.56,24,52
2024-01-08,15.6,4.0,30.1,16.41,4.4,32.3,34.32,28.33,43.89,36.42,20,49
2024-01-09,12.73,2.8,27.9,13.34,3.0,29.3,33.54,31.11,37.22,42.62,34,51
2024-01-10,2.61,0.3,13.2,2.76,0.4,13.5,33.91,28.89,42.78,46.9,26,66
2024-01-11,9.21,0.3,52.8,10.28,0.4,64.5,34.12,29.44,40.0,44.15,27,60
2024-01-12,6.05,2.1,24.2,6.59,2.4,26.2,35.06,29.44,44.44,40.02,20,59
2024-01-13,5.13,1.7,12.0,5.55,1.9,12.6,34.81,29.44,43.33,40.08,22,57
2024-01-14,4.9,1.7,14.5,5.18,1.9,14.9,34.75,28.89,44.44,38.4,22,51
2024-01-15,10.93,1.2,39.7,11.43,1.4,46.3,34.51,30.0,43.33,42.21,25,53
2024-01-16,4.59,1.6,11.2,4.89,1.7,11.5,33.4,29.44,40.56,46.33,31,57
2024-01-17,3.97,1.9,7.2,4.25,2.1,7.5,34.22,29.44,42.78,44.92,25,61
2024-01-18,2.85,0.5,19.2,3.11,0.6,19.8,34.51,28.89,43.89,44.31,24,66
2024-01-19,6.01,2.1,20.9,6.43,2.3,21.6,34.68,30.0,43.33,41.35,22,62
2024-01-20,9.03,2.8,16.3,9.61,3.1,17.0,33.44,30.0,42.78,41.83,26,49
2024-01-21,5.29,1.8,12.3,5.76,2.0,13.0,34.02,29.44,42.22,44.56,25,58
2024-01-22,9.82,2.1,61.0,10.86,2.4,69.8,34.26,29.44,42.78,39.29,21,53
2024-01-23,11.85,1.1,63.8,12.78,1.3,69.8,34.02,28.33,42.78,35.46,19,48
2024-01-24,12.75,1.0,43.9,13.93,1.3,52.4,34.32,28.33,42.78,37.81,22,52
2024-01-25,11.93,1.1,33.8,12.63,1.3,37.8,34.42,29.44,42.22,38.42,23,54
2024-01-26,16.67,3.1,38.5,17.89,3.4,45.1,33.6,28.89,43.33,42.14,23,56
2024-01-27,15.7,2.7,48.8,17.1,3.2,59.4,34.41,28.89,43.33,36.48,21,49
2024-01-28,14.94,3.4,58.4,16.05,3.8,69.0,34.8,28.89,44.44,38.1,21,55
2024-01-29,24.4,7.8,51.6,27.25,8.3,63.4,35.84,30.0,46.11,36.15,18,50
2024-01-30,16.35,2.3,40.2,18.05,2.4,47.5,34.84,30.56,43.33,43.12,26,55
2024-01-31,7.58,1.9,22.5,8.28,2.0,25.5,32.56,32.22,33.33,48.6,46,50
2024-02-01,13.45,10.5,16.3,16.5,13.3,19.7,37.58,35.0,40.0,30.45,27,37
2024-02-02,18.08,9.5,36.2,21.18,11.7,42.9,35.44,29.44,46.67,36.62,18,51
2024-02-03,24.85,7.9,45.3,28.54,9.1,55.3,36.18,28.89,47.78,35.98,15,53
2024-02-04,24.86,7.8,46.8,27.99,8.4,57.2,37.07,30.56,49.44,33.71,14,48
2024-02-05,31.48,6.2,64.4,36.03,6.5,72.9,36.91,31.11,46.11,34.67,20,48
2024-02-06,20.99,5.9,47.4,22.96,6.3,56.2,36.08,31.67,45.56,41.35,22,56
2024-02-07,8.7,1.7,29.2,9.08,1.8,30.8,34.25,30.56,43.89,48.39,24,60
2024-02-08,10.88,4.0,27.5,11.64,4.3,28.9,35.53,29.44,44.44,42.08,23,59
2024-02-09,11.22,5.6,24.9,12.11,6.2,25.7,35.53,30.0,44.44,41.6,23,58
2024-02-10,7.59,3.6,11.8,8.48,4.1,13.2,34.98,30.0,43.33,43.0,25,58
2024-02-11,15.71,10.9,37.8,17.11,11.6,44.8,35.15,29.44,42.78,39.96,20,56
2024-02-12,26.92,12.2,56.3,30.94,13.9,67.0,35.09,30.0,42.22,37.58,24,51
2024-02-13,8.98,1.0,22.3,10.05,1.3,24.2,34.57,29.44,42.22,44.04,27,59
2024-02-14,9.23,5.5,16.0,10.35,6.3,17.3,34.92,30.0,42.78,45.33,27,62
2024-02-15,10.68,5.7,14.6,12.06,6.3,16.2,35.42,29.44,45.0,41.6,19,58
2024-02-16,16.78,8.7,32.9,18.27,9.6,37.2,34.99,29.44,42.22,36.75,23,52
2024-02-17,18.03,11.2,32.7,19.3,12.2,36.7,34.19,28.89,40.56,38.08,25,51
2024-02-18,17.16,6.4,30.0,18.16,6.8,31.9,34.83,28.89,42.78,38.62,22,55
